Symbol	Protein_name	Chromosome	Uniprot	Ensembl_x	Ensembl_y	Family
ADNP	activity dependent neuroprotector homeobox	20q13.13	Q9H2P0	ENSG00000101126	ENSG00000101126	Homeobox
ADNP2	ADNP homeobox 2	18q23	Q6IQ32	ENSG00000101544	ENSG00000101544	Others
AEBP2	AE binding protein 2	12p12.3	Q6ZN18	ENSG00000139154	ENSG00000139154	zf-C2H2
AFF1	AF4/FMR2 family member 1	4q21.3-q22.1	P51825	ENSG00000172493	ENSG00000172493	AF-4
AFF2	AF4/FMR2 family member 2	Xq28	P51816	ENSG00000155966	ENSG00000155966	AF-4
AFF3	AF4/FMR2 family member 3	2q11.2	P51826	ENSG00000144218	ENSG00000144218	AF-4
AFF4	AF4/FMR2 family member 4	5q31.1	Q9UHB7	ENSG00000072364	ENSG00000072364	AF-4
AHCTF1	AT-hook containing transcription factor 1	1q44	Q8WYP5	ENSG00000153207	ENSG00000153207	Others
AHR	aryl hydrocarbon receptor	7p21.1	P35869	ENSG00000106546	ENSG00000106546	bHLH
AHRR	aryl-hydrocarbon receptor repressor	5p15.33	A9YTQ3	ENSG00000063438	ENSG00000063438	bHLH
AIRE	autoimmune regulator	21q22.3	O43918	ENSG00000160224	ENSG00000160224	SAND
AKNA	AT-hook transcription factor	9q32	Q7Z591	ENSG00000106948	ENSG00000106948	Others
ALX1	ALX homeobox 1	12q21.31	Q15699	ENSG00000180318	ENSG00000180318	Homeobox
ALX3	ALX homeobox 3	1p13.3	O95076	ENSG00000156150	ENSG00000156150	Homeobox
ALX4	ALX homeobox 4	11p11.2	Q9H161	ENSG00000052850	ENSG00000052850	Homeobox
ANHX	anomalous homeobox	12q24.33	E9PGG2	ENSG00000227059	ENSG00000227059	Homeobox
ANKRD30A	ankyrin repeat domain 30A	10p11.21	Q9BXX3	ENSG00000148513	ENSG00000148513	Others
AR	androgen receptor	Xq12	P10275	ENSG00000169083	ENSG00000169083	ESR-like
ARGFX	arginine-fifty homeobox	3q13.33	A6NJG6	ENSG00000186103	ENSG00000186103	Homeobox
ARID1A	AT-rich interaction domain 1A	1p36.11	O14497	ENSG00000117713	ENSG00000117713	ARID
ARID1B	AT-rich interaction domain 1B	6q25.3	Q8NFD5	ENSG00000049618	ENSG00000049618	ARID
ARID2	AT-rich interaction domain 2	12q12	Q68CP9	ENSG00000189079	ENSG00000189079	ARID
ARID3A	AT-rich interaction domain 3A	19p13.3	Q99856	ENSG00000116017	ENSG00000116017	ARID
ARID3B	AT-rich interaction domain 3B	15q24.1	Q8IVW6	ENSG00000179361	ENSG00000179361	ARID
ARID3C	AT-rich interaction domain 3C	9p13.3	A6NKF2	ENSG00000205143	ENSG00000205143	ARID
ARID4A	AT-rich interaction domain 4A	14q23.1	P29374	ENSG00000032219	ENSG00000032219	ARID
ARID4B	AT-rich interaction domain 4B	1q42.3	Q4LE39	ENSG00000054267	ENSG00000054267	ARID
ARID5A	AT-rich interaction domain 5A	2q11.2	Q03989	ENSG00000196843	ENSG00000196843	ARID
ARID5B	AT-rich interaction domain 5B	10q21.2	Q14865	ENSG00000150347	ENSG00000150347	ARID
ARNT	aryl hydrocarbon receptor nuclear translocator	1q21.3	P27540	ENSG00000143437	ENSG00000143437	bHLH
ARNT2	aryl hydrocarbon receptor nuclear translocator 2	15q25.1	Q9HBZ2	ENSG00000172379	ENSG00000172379	bHLH
ARNTL	aryl hydrocarbon receptor nuclear translocator like	11p15.3	O00327	ENSG00000133794	ENSG00000133794	bHLH
ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2	12p11.23	Q8WYA1	ENSG00000029153	ENSG00000029153	bHLH
ARX	aristaless related homeobox	Xp21.3	Q96QS3	ENSG00000004848	ENSG00000004848	Homeobox
ASCL1	achaete-scute family bHLH transcription factor 1	12q23.2	P50553	ENSG00000139352	ENSG00000139352	bHLH
ASCL2	achaete-scute family bHLH transcription factor 2	11p15.5	Q99929	ENSG00000183734	ENSG00000183734	bHLH
ASCL3	achaete-scute family bHLH transcription factor 3	11p15.4	Q9NQ33	ENSG00000176009	ENSG00000176009	bHLH
ASCL4	achaete-scute family bHLH transcription factor 4	12q23.3	Q6XD76	ENSG00000187855	ENSG00000187855	bHLH
ASCL5	achaete-scute family bHLH transcription factor 5	1q32.1	Q7RTU5	ENSG00000232237	ENSG00000232237	bHLH
ATF1	activating transcription factor 1	12q13.12	P18846	ENSG00000123268	ENSG00000123268	TF_bZIP
ATF2	activating transcription factor 2	2q31.1	P15336	ENSG00000115966	ENSG00000115966	TF_bZIP
ATF3	activating transcription factor 3	1q32.3	P18847	ENSG00000162772	ENSG00000162772	TF_bZIP
ATF4	activating transcription factor 4	22q13.1	P18848	ENSG00000128272	ENSG00000128272	TF_bZIP
ATF5	activating transcription factor 5	19q13.33	Q9Y2D1	ENSG00000169136	ENSG00000169136	TF_bZIP
ATF6	activating transcription factor 6	1q23.3	P18850	ENSG00000118217	ENSG00000118217	TF_bZIP
ATF6B	activating transcription factor 6 beta	6p21.3	Q99941	ENSG00000213676	ENSG00000213676	TF_bZIP
ATF7	activating transcription factor 7	12q13.13	P17544	ENSG00000170653	ENSG00000170653	TF_bZIP
ATMIN	ATM interactor	16q23.2	O43313	ENSG00000166454	ENSG00000166454	zf-C2H2
ATOH1	atonal bHLH transcription factor 1	4q22.2	Q92858	ENSG00000172238	ENSG00000172238	bHLH
ATOH7	atonal bHLH transcription factor 7	10q21.3	Q8N100	ENSG00000179774	ENSG00000179774	bHLH
ATOH8	atonal bHLH transcription factor 8	2p11.2	Q96SQ7	ENSG00000168874	ENSG00000168874	bHLH
BACH1	BTB domain and CNC homolog 1	21q21.3	O14867	ENSG00000156273	ENSG00000156273	TF_bZIP
BACH2	BTB domain and CNC homolog 2	6q15	Q9BYV9	ENSG00000112182	ENSG00000112182	TF_bZIP
BARHL1	BarH like homeobox 1	9q34.13	Q9BZE3	ENSG00000125492	ENSG00000125492	Homeobox
BARHL2	BarH like homeobox 2	1p22.2	Q9NY43	ENSG00000143032	ENSG00000143032	Homeobox
BARX1	BARX homeobox 1	9q22.32	Q9HBU1	ENSG00000131668	ENSG00000131668	Homeobox
BARX2	BARX homeobox 2	11q24.3	Q9UMQ3	ENSG00000043039	ENSG00000043039	Homeobox
BATF	basic leucine zipper ATF-like transcription factor	14q24.3	Q16520	ENSG00000156127	ENSG00000156127	TF_bZIP
BATF2	basic leucine zipper ATF-like transcription factor 2	11q13.1	Q8N1L9	ENSG00000168062	ENSG00000168062	TF_bZIP
BATF3	basic leucine zipper ATF-like transcription factor 3	1q32.3	Q9NR55	ENSG00000123685	ENSG00000123685	TF_bZIP
BAZ2A	bromodomain adjacent to zinc finger domain 2A	12q13.3	Q9UIF9	ENSG00000076108	ENSG00000076108	MBD
BAZ2B	bromodomain adjacent to zinc finger domain 2B	2q24.2	Q9UIF8	ENSG00000123636	ENSG00000123636	MBD
BBX	BBX high mobility group box domain containing	3q13.12	Q8WY36	ENSG00000114439	ENSG00000114439	HMG
BCL6	BCL6 transcription repressor	3q27.3	P41182	ENSG00000113916	ENSG00000113916	ZBTB
BCL6B	BCL6B transcription repressor	17p13.1	Q8N143	ENSG00000161940	ENSG00000161940	ZBTB
BCL11A	BAF chromatin remodeling complex subunit BCL11A	2p16.1	Q9H165	ENSG00000119866	ENSG00000119866	zf-C2H2
BCL11B	BAF chromatin remodeling complex subunit BCL11B	14q32.2	Q9C0K0	ENSG00000127152	ENSG00000127152	zf-C2H2
BCLAF1	BCL2 associated transcription factor 1	6q23.3	Q9NYF8	ENSG00000029363	ENSG00000029363	Others
BHLHA9	basic helix-loop-helix family member a9	17p13.3	Q7RTU4	ENSG00000205899	ENSG00000205899	bHLH
BHLHA15	basic helix-loop-helix family member a15	7q21.3	Q7RTS1	ENSG00000180535	ENSG00000180535	bHLH
BHLHE22	basic helix-loop-helix family member e22	8q12.3	Q8NFJ8	ENSG00000180828	ENSG00000180828	bHLH
BHLHE23	basic helix-loop-helix family member e23	20q13.33	Q8NDY6	ENSG00000125533	ENSG00000125533	bHLH
BHLHE40	basic helix-loop-helix family member e40	3p26.1	O14503	ENSG00000134107	ENSG00000134107	bHLH
BHLHE41	basic helix-loop-helix family member e41	12p12.1	Q9C0J9	ENSG00000123095	ENSG00000123095	bHLH
BLZF1	basic leucine zipper nuclear factor 1	1q24.2	Q9H2G9	ENSG00000117475	ENSG00000117475	Others
BNC1	basonuclin 1	15q25.2	Q01954	ENSG00000169594	ENSG00000169594	zf-C2H2
BNC2	basonuclin 2	9p22.3-p22.2	Q6ZN30	ENSG00000173068	ENSG00000173068	zf-C2H2
BORCS8-MEF2B	BORCS8-MEF2B readthrough	19p13.11		ENSG00000064489	ENSG00000064489	SRF
BSX	brain specific homeobox	11q24.1	Q3C1V8	ENSG00000188909	ENSG00000188909	Homeobox
CAMTA1	calmodulin binding transcription activator 1	1p36.31-p36.23	Q9Y6Y1	ENSG00000171735	ENSG00000171735	CG-1
CAMTA2	calmodulin binding transcription activator 2	17p13.2	O94983	ENSG00000108509	ENSG00000108509	CG-1
CAPN15	calpain 15	16p13.3	O75808	ENSG00000103326	ENSG00000103326	Others
CARF	calcium responsive transcription factor	2q33.2	Q8N187	ENSG00000138380	ENSG00000138380	Others
CARHSP1	calcium regulated heat stable protein 1	16p13.2	Q9Y2V2	ENSG00000153048	ENSG00000153048	CSD
CASZ1	castor zinc finger 1	1p36.22	Q86V15	ENSG00000130940	ENSG00000130940	Others
CBFB	core-binding factor subunit beta	16q22.1	Q13951	ENSG00000067955	ENSG00000067955	CBF
CC2D1A	coiled-coil and C2 domain containing 1A	19p13.12	Q6P1N0	ENSG00000132024	ENSG00000132024	Others
CCDC88A	coiled-coil domain containing 88A	2p16.1	Q3V6T2	ENSG00000115355	ENSG00000115355	TF_bZIP
CCDC169-SOHLH2	CCDC169-SOHLH2 readthrough	13q13.3		ENSG00000250709	ENSG00000250709	bHLH
CDC5L	cell division cycle 5 like	6p21.1	Q99459	ENSG00000096401	ENSG00000096401	MYB
CDIP1	cell death inducing p53 target 1	16p13.3	Q9H305	ENSG00000089486	ENSG00000089486	zf-LITAF-like
CDX1	caudal type homeobox 1	5q32	P47902	ENSG00000113722	ENSG00000113722	Homeobox
CDX2	caudal type homeobox 2	13q12.2	Q99626	ENSG00000165556	ENSG00000165556	Homeobox
CDX4	caudal type homeobox 4	Xq13.2	O14627	ENSG00000131264	ENSG00000131264	Homeobox
CEBPA	CCAAT enhancer binding protein alpha	19q13.11	P49715	ENSG00000245848	ENSG00000245848	TF_bZIP
CEBPB	CCAAT enhancer binding protein beta	20q13.13	P17676	ENSG00000172216	ENSG00000172216	TF_bZIP
CEBPD	CCAAT enhancer binding protein delta	8q11.21	P49716	ENSG00000221869	ENSG00000221869	TF_bZIP
CEBPE	CCAAT enhancer binding protein epsilon	14q11.2	Q15744	ENSG00000092067	ENSG00000092067	TF_bZIP
CEBPG	CCAAT enhancer binding protein gamma	19q13.11	P53567	ENSG00000153879	ENSG00000153879	TF_bZIP
CEBPZ	CCAAT enhancer binding protein zeta	2p22.2	Q03701	ENSG00000115816	ENSG00000115816	Others
CENPA	centromere protein A	2p23.3	P49450	ENSG00000115163	ENSG00000115163	Others
CENPS	centromere protein S	1p36.22	Q8N2Z9	ENSG00000175279	ENSG00000175279	Others
CENPT	centromere protein T	16q22.1	Q96BT3	ENSG00000102901	ENSG00000102901	Others
CENPX	centromere protein X	17q25.3	A8MT69	ENSG00000169689	ENSG00000169689	Others
CIC	capicua transcriptional repressor	19q13.2	Q96RK0	ENSG00000079432	ENSG00000079432	HMG
CIZ1	CDKN1A interacting zinc finger protein 1	9q34.11	Q9ULV3	ENSG00000148337	ENSG00000148337	Others
CLOCK	clock circadian regulator	4q12	O15516	ENSG00000134852	ENSG00000134852	bHLH
CNBP	CCHC-type zinc finger nucleic acid binding protein	3q21.3	P62633	ENSG00000169714	ENSG00000169714	Others
CPEB1	cytoplasmic polyadenylation element binding protein 1	15q25.2	Q9BZB8	ENSG00000214575	ENSG00000214575	Others
CPHXL	cytoplasmic polyadenylated homeobox like	16q23.1	A0A1W2PPM1	ENSG00000283755	ENSG00000283755	Homeobox
CREB1	cAMP responsive element binding protein 1	2q33.3	P16220	ENSG00000118260	ENSG00000118260	TF_bZIP
CREB3	cAMP responsive element binding protein 3	9p13.3	O43889	ENSG00000107175	ENSG00000107175	TF_bZIP
CREB3L1	cAMP responsive element binding protein 3 like 1	11p11.2	Q96BA8	ENSG00000157613	ENSG00000157613	TF_bZIP
CREB3L2	cAMP responsive element binding protein 3 like 2	7q33	Q70SY1	ENSG00000182158	ENSG00000182158	TF_bZIP
CREB3L3	cAMP responsive element binding protein 3 like 3	19p13.3	Q68CJ9	ENSG00000060566	ENSG00000060566	TF_bZIP
CREB3L4	cAMP responsive element binding protein 3 like 4	1q21.3	Q8TEY5	ENSG00000143578	ENSG00000143578	TF_bZIP
CREB5	cAMP responsive element binding protein 5	7p15.1-p14.3	Q02930	ENSG00000146592	ENSG00000146592	TF_bZIP
CREBL2	cAMP responsive element binding protein like 2	12p13.1	O60519	ENSG00000111269	ENSG00000111269	Others
CREBRF	CREB3 regulatory factor	5q35.1	Q8IUR6	ENSG00000164463	ENSG00000164463	Others
CREBZF	CREB/ATF bZIP transcription factor	11q14.1	Q9NS37	ENSG00000137504	ENSG00000137504	TF_bZIP
CREM	cAMP responsive element modulator	10p11.21	Q03060	ENSG00000095794	ENSG00000095794	TF_bZIP
CRX	cone-rod homeobox	19q13.33	O43186	ENSG00000105392	ENSG00000105392	TF_Otx
CSDC2	cold shock domain containing C2	22q13.2	Q9Y534	ENSG00000172346	ENSG00000172346	CSD
CSDE1	cold shock domain containing E1	1p13.2	O75534	ENSG00000009307	ENSG00000009307	CSD
CSRNP1	cysteine and serine rich nuclear protein 1	3p22.2	Q96S65	ENSG00000144655	ENSG00000144655	CSRNP_N
CSRNP2	cysteine and serine rich nuclear protein 2	12q13.12	Q9H175	ENSG00000110925	ENSG00000110925	CSRNP_N
CSRNP3	cysteine and serine rich nuclear protein 3	2q24.3	Q8WYN3	ENSG00000178662	ENSG00000178662	CSRNP_N
CTCF	CCCTC-binding factor	16q22.1	P49711	ENSG00000102974	ENSG00000102974	zf-C2H2
CTCFL	CCCTC-binding factor like	20q13.31	Q8NI51	ENSG00000124092	ENSG00000124092	zf-C2H2
CUX1	cut like homeobox 1	7q22.1	P39880, Q13948	ENSG00000257923	ENSG00000257923	CUT
CUX2	cut like homeobox 2	12q24.11-q24.12	O14529	ENSG00000111249	ENSG00000111249	CUT
DACH1	dachshund family transcription factor 1	13q21.33	Q9UI36	ENSG00000276644	ENSG00000276644	DACH
DACH2	dachshund family transcription factor 2	Xq21.2	Q96NX9	ENSG00000126733	ENSG00000126733	DACH
